FT	ID	AT	WT	ST
3	2	1	0	2
3	11	2	0	1
4	1	1	0	3
6	3	1	0	5
6	8	2	1	3
7	4	1	0	6
8	5	1	0	7
8	6	2	1	5
8	15	8	0	0
10	9	2	0	8
11	14	8	0	3
11	16	9	0	2
12	12	2	8	2
13	10	2	0	11
18	17	9	3	6
23	13	8	2	13
Orders: 16 [Norm:7, Veg:4, VIP:5]
Cooks: 8 [Norm:3, Veg:3, VIP:2, Injured:5]
Avg Wait = 0.94 Avg Served = 4.81
Urgent Order: 0, Auto-Promoted: 0.00%
