FT	ID	AT	WT	ST
2	2	1	0	1
3	3	1	0	2
4	11	2	0	2
5	1	1	0	4
5	4	1	0	4
5	10	2	0	3
8	8	2	2	4
8	9	2	3	3
9	15	3	2	4
9	6	2	3	4
10	13	2	0	8
10	19	8	1	1
11	16	5	3	3
12	20	9	1	2
15	18	7	2	6
15	12	2	13	0
18	5	1	0	17
25	14	3	0	22
26	17	6	9	11
32	21	9	20	3
Orders: 20 [Norm:4, Veg:4, VIP:12]
Cooks: 7 [Norm:3, Veg:2, VIP:2, Injured:6]
Avg Wait = 2.95 Avg Served = 5.20
Urgent Order: 6, Auto-Promoted: 33.33%
